,Name,Affilation,H-index,Citations 2020,Total_citation,H-index_since_2016,Citation_since_2016,HomePage,Area of Research,Google_Scholar
0,"U Rajendra Acharya (SCI Highly Cited Researcher 2016-2021)  PhD, DEng, DSc","Ngee Ann,  Singapore University of Social Science,  University of Malaya, Malaysia",108,8758,46203,97,36441,https://scholar.google.com.sg/citations?user=8FjY99sAAAAJ&hl=en,Artificial IntelligenceMedical Informatics,https://scholar.google.com.sg/citations?user=8FjY99sAAAAJ&hl=en
1,IAN  F.  AKYILDIZ,"Truva Inc. , USA",131,6716,130993,86,44937,https://en.wikipedia.org/wiki/Ian_F._Akyildiz#1990s,Wireless Communication5G/6G Wireless SystemsIntelligent Surfaces for Wireless CommunicationNano-scale and Molecular Commun,https://scholar.google.com/citations?user=rAGwv14AAAAJ&hl=en
2,Prof. Mohamed-Slim Alouini,"Wireless CT Lab, King Abdullah University of Science and Technology (KAUST), Kingdom of Saudi Arabia",102,7574,66080,81,34371,https://ieeexplore.ieee.org/author/37085389708,Communication TheoryWireless CommunicationsOptical Communications6GGlobal Connectivity,https://scholar.google.com/citations?user=HqIyyXcAAAAJ&hl=en
3,Jeffrey Andrews,"Cockrell Family Endowed Chair in Engineering, University of Texas at Austin",104,4658,64167,79,34643,https://www.ece.utexas.edu/people/faculty/jeffrey-andrews,Wireless CommunicationsCommunication TheoryMachine Learning for CommunicationsStochastic GeometryInformation Theory,https://scholar.google.com/citations?user=Hr9Gey0AAAAJ&hl=en
4,Bennis Mehdi,"Full Professor, IEEE Fellow, Head of ICON, University of Oulu",64,5584,21802,61,20225,https://fi.linkedin.com/in/dr-mehdi-bennis-56a4715,B5G/6Gmachine learningsemantic communication,https://scholar.google.co.in/citations?user=RW4sJu8AAAAJ&hl=en
5,STÉPHANE Pierre Alain BORDAS,"Prof. of Computational Mechanics,  U. of Luxembourg",67,2247,16883,57,11739,https://www.growkudos.com/profiles/164437,Computational MechanicsComputational Science and EngineeringFree Boundary ProblemsFracture,http://scholar.google.com/citations?user=QKZBZ48AAAAJ&hl=en
6,Rajkumar Buyya,"CLOUDS Lab, School of Computing and Information Systems, The University of Melbourne, Australia",151,11217,119037,109,65588,https://twitter.com/buyya,Computer SystemsCloud ComputingDistributed SystemsEdge ComputingInternet of Things,https://scholar.google.com/citations?user=7xN6JqYAAAAJ&hl=en
7,Francisco Javier Cabrerizo,"Associate Professor of Computer Science and Artificial Intelligence, University of Granada",32,831,6622,29,4678,https://ikm.ku.dk/english/contact/specialties/ophthalmology/?pure=en%2Fpersons%2Ffrancisco-javier-cabrerizo-nunez(ab9919d5-4b47-4355-b1a4-d3f8278706b0)%2Fcv.html,Soft Computingcomputing with wordsconsensusfuzzy logicmultiple criteria decision making,https://scholar.google.com/citations?user=cXaWA-IAAAAJ&hl=en
8,Giuseppe Caire,"Professor, Technical University of Berlin, Germany, and Professor of Electrical Engineering (on",82,2941,38081,58,17346,https://www.eecs.tu-berlin.de/menue/einrichtungen/professuren/professorinnen/caire,Information TheoryCommunicationsSignal ProcessingStatistics,https://scholar.google.com/citations?user=g66ErTcAAAAJ&hl=en
9,Jinde Cao,"Academician, RAE/AE/RAEN/LAS/AAS/EASA/PAS/IASCYS  & FIEEE/FAAIA/DFIETI; Southeast University",128,8787,65945,90,40173,https://ieeexplore.ieee.org/author/37290969000,Complex networksneural networksmulti-agent systems - engineering stability - dynamics and control - time-delay systems,https://scholar.google.co.in/citations?user=8_ffELYAAAAJ&hl=en
10,C. L. Philip Chen,"Chair Professor, South China University of Technology, Philip.Chen@ieee.org",91,5855,34059,83,26776,https://broadlearning.ai/about-us/,Computational IntelligenceIntelligent ControlCyberneticsIntelligent Transportation SystemsData Science/Engineering,https://scholar.google.com/citations?user=Q5248zwAAAAJ&hl=en
11,Min Chen,"Professor, IEEE Fellow, Highly Cited Researcher, Huazhong University of Science and Technology",85,5742,31335,71,24890,https://sites.google.com/view/minchen/home,Cognitive Computing and Big Data AnalyticsIoT Sensing5G NetworksRoboticsEdge Computing,https://scholar.google.com/citations?user=_HyHTrsAAAAJ&hl=en
12,Xiaofeng Chen,"Professor, Xidian University, China",55,1928,13196,50,10418,https://geoweb.tamu.edu/people/profiles/research-staff/chenxiaofeng.html,SecurityCryptographyCloud computing,https://scholar.google.com/citations?user=-3WhJecAAAAJ&hl=en
13,Yunfei Chen,"School of Engineering, Warwick University",43,1866,8089,39,6658,https://gtr.ukri.org/person/1792A882-253B-4498-A996-E5E9027D7100,Wireless Communications,https://scholar.google.com/citations?user=WMbGRBwAAAAJ&hl=en
14,Francisco Chiclana,"Professor of Computational Intelligence and Decision Making, De Montfort University, UK",68,2300,18777,59,11801,https://scholar.google.com/citations?user=qDOxZIIAAAAJ&hl=en,Decision makingcomputational intelligenceinformation fusionconsensussentiment analysis,https://scholar.google.com/citations?user=qDOxZIIAAAAJ&hl=en
15,Linglong Dai,"Associate Professor, Department of Electronics Engineering, Tsinghua University, Beijing, China",61,3184,14543,56,13613,https://publons.com/researcher/2298084/linglong-dai/,Wireless CommunicationsRISMassive MIMOMillimeter-Wave/Teraherz CommunicationsNon-Orthogonal Mutiple Access,https://scholar.google.com/citations?user=OTFnifoAAAAJ&hl=en
